Language,basicness_score,basicness_rank,basicness_score_softmax,basicness_score_softmax_clip,basicness_score_softmax_scale,combined_metric_softmax,combined_metric_softmax_clip,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,normalized_length,normalized_pronounce_complexity,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,example_en_lemma,example_en_gloss,ili
it,0.9571235633837096,4,0.004122688098594617,0.004122688098594617,0.004122688098594617,0.6722283950845955,0.6722283950845955,1,1,"soccer, association football",0,3,14,7.0,0.7166666666666667,5.36e-05,4.666666666666667,0.35714285714030614,0.7166666666666667,0.20430107526749916,0.05510258697871969,0.0,0.18181818181652892,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
nb,0.9420114495306253,4,0.0038506678154205803,0.0038506678154205803,0.0038506678154205808,0.603969585169953,0.603969585169953,1,1,"soccer, association football",0,1,1,7.0,0.84,0.0002,1.0,0.49999999999375,0.84,0.0,0.2889582170544204,0.0,0.0,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
en,0.0,1,0.0021761108490257544,0.0021761108490257544,0.0021761108490257544,0.03326226270573463,0.03326226270573463,0,0,"soccer, association football",0,2,2,13.0,0.679,4.36e-05,1.0,0.99999999999,0.679,0.0,0.08923457330406044,0.0,0.09090909090826446,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
it,0.9999999990414027,4,0.003889089959562334,0.003889089959562334,0.0038890899595623346,0.6138981800657068,0.6138981800657068,0,1,"athletics, sport",20,1,2,5.0,0.759,8.91e-05,2.0,0.21428571428418366,0.759,0.03225806451592091,0.09231564937160763,0.2739726027393507,0.0,athletics,an active diversion requiring physical exertion and competition,i38140
nb,0.2975149122177794,2,0.0036591680529436477,0.0036591680529436477,0.003659168052943648,0.5529588069976707,0.5529588069976707,0,1,"athletics, sport",1,2,2,5.5,0.8320000000000001,4.7449999999999995e-05,1.0,0.31249999999609374,0.8320000000000001,0.0,0.06849195294522983,0.199999999996,0.3333333333222222,athletics,an active diversion requiring physical exertion and competition,i38140
es,0.4212378917402273,2,0.003635958479152852,0.003635958479152852,0.0036359584791528523,0.5465957502367828,0.5465957502367828,0,1,"athletics, sport",8,1,2,7.0,0.208,4.9e-05,2.0,0.41666666666319446,0.208,0.0769230769224852,0.0604586973416169,0.21621621621563183,0.0,athletics,an active diversion requiring physical exertion and competition,i38140
en,0.0,1,0.003491941427897531,0.003491941427897531,0.003491941427897531,0.5061808579731184,0.5061808579731184,0,1,"athletics, sport",20,2,10,7.0,0.8165,3.0155e-05,5.0,0.399999999996,0.8165,0.5714285714204081,0.05939724830846002,0.09999999999995,0.09090909090826446,athletics,an active diversion requiring physical exertion and competition,i38140
es,0.999999999899955,4,0.004296172215192296,0.004296172215192296,0.004296172215192297,0.7134474371000074,0.7134474371000074,0,1,"squealer, hog, pig",1,5,10,4.666666666666667,0.38599999999999995,0.00078514,2.6666666666666665,0.22222222222037039,0.38599999999999995,0.128205128204142,0.9999998723692266,0.02702702702695398,0.999999999975,squealer,domestic swine,i48199
nb,0.6413021417397878,3,0.004094390336888114,0.004094390336888114,0.004094390336888114,0.6653408197021757,0.6653408197021757,0,1,"squealer, hog, pig",0,1,2,4.0,0.644,1.15e-05,2.0,0.1249999999984375,0.644,0.11111111110987654,0.016536776316416996,0.0,0.0,squealer,domestic swine,i48199
it,0.5598412993236939,3,0.003743176083853046,0.003743176083853046,0.0037431760838530464,0.575657464686131,0.575657464686131,0,1,"squealer, hog, pig",0,3,10,6.5,0.42974999999999997,6.48675e-06,3.0,0.3214285714262755,0.42974999999999997,0.09677419354776275,0.005715873970783658,0.0,0.18181818181652892,squealer,domestic swine,i48199
en,0.0,1,0.003460691204381769,0.003460691204381769,0.003460691204381769,0.4971913325324424,0.4971913325324424,0,0,"squealer, hog, pig",1,5,15,4.666666666666667,0.429,5.855233333333334e-06,3.6666666666666665,0.16666666666500002,0.429,0.38095238094693873,0.005470879000123019,0.0049999999999975,0.36363636363305785,squealer,domestic swine,i48199
en,0.9999999998917941,4,0.004987056475870091,0.004987056475870091,0.004987056475870092,0.8625688444795426,0.8625688444795426,1,1,fish,13,1,4,4.0,0.197,7.94e-05,4.0,0.099999999999,0.197,0.4285714285653061,0.16868241524102545,0.0649999999999675,0.0,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
nb,0.8447071691327542,4,0.00480358554751445,0.00480358554751445,0.0048035855475144495,0.825085621483539,0.825085621483539,1,1,fish,0,1,2,4.0,0.398,5.13e-05,2.0,0.1249999999984375,0.398,0.11111111110987654,0.07405599828656308,0.0,0.0,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
it,0.11035765237779005,1,0.003944964168108008,0.003944964168108008,0.003944964168108008,0.6281628647558877,0.6281628647558877,1,0,fish,3,1,5,5.0,0.199,4.07e-05,5.0,0.21428571428418366,0.199,0.2258064516114464,0.04158009388383927,0.04109589041090261,0.0,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,0.0,1,0.0038588963435652024,0.0038588963435652024,0.0038588963435652024,0.6061042145989253,0.6061042145989253,1,0,fish,2,2,3,4.5,0.477,7.7734e-06,1.5,0.20833333333159723,0.477,0.0384615384612426,0.007840868930725973,0.05405405405390796,0.24999999999375,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
nb,0.9999999998930322,4,0.00522053763501725,0.00522053763501725,0.00522053763501725,0.908323385166592,0.908323385166592,1,1,boat,2,1,1,3.0,0.203,5.01e-05,1.0,0.0,0.203,0.0,0.0723217503879657,0.399999999992,0.0,boat,a small vessel for travel on water,i50885
en,0.9589237265960759,4,0.004959893346301344,0.004959893346301344,0.004959893346301346,0.8571072311054779,0.8571072311054779,1,1,boat,26,1,2,4.0,0.202,5.13e-05,2.0,0.099999999999,0.202,0.14285714285510204,0.10632251696089369,0.129999999999935,0.0,boat,a small vessel for travel on water,i50885
es,0.6478504614374666,3,0.004143421050251458,0.004143421050251458,0.004143421050251459,0.6772447806078692,0.6772447806078692,1,1,boat,8,3,12,6.666666666666667,0.40599999999999997,1.5689999999999997e-05,4.0,0.38888888888564815,0.40599999999999997,0.23076923076745562,0.01794488673470833,0.21621621621563183,0.4999999999875,boat,a small vessel for travel on water,i50885
it,0.0,1,0.0036247072185153413,0.0036247072185153413,0.0036247072185153413,0.5434965111003258,0.5434965111003258,1,0,boat,19,3,9,6.666666666666667,0.4163333333333334,8.995666666666666e-06,3.0,0.3333333333309524,0.4163333333333334,0.09677419354776275,0.008345859110367407,0.26027397260238316,0.18181818181652892,boat,a small vessel for travel on water,i50885
nb,0.9999999998790734,4,0.004232994277298831,0.004232994277298831,0.004232994277298831,0.6986326029739033,0.6986326029739033,0,1,"passenger vehicle, bus, coach",0,1,1,4.0,0.273,3.89e-05,1.0,0.1249999999984375,0.273,0.0,0.05613543666772359,0.0,0.0,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
es,0.7710092804938252,4,0.0036275654609963497,0.0036275654609963497,0.00362756546099635,0.5442847447355756,0.5442847447355756,0,1,"passenger vehicle, bus, coach",2,1,1,7.0,0.2,2.04e-05,1.0,0.41666666666319446,0.2,0.0,0.023956296160062264,0.05405405405390796,0.0,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
en,0.7595256224220652,4,0.003351575430543351,0.003351575430543351,0.0033515754305433513,0.4651535064268291,0.4651535064268291,0,1,"passenger vehicle, bus, coach",3,10,18,8.333333333333334,0.49666666666666665,5.856666666666666e-05,3.3333333333333335,0.533333333328,0.49666666666666665,0.33333333332857146,0.12244880145089217,0.0149999999999925,0.8181818181743802,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
it,0.0,1,0.0029979690101454757,0.0029979690101454757,0.0029979690101454757,0.3536580561458989,0.3536580561458989,0,0,"passenger vehicle, bus, coach",3,7,9,7.75,0.57625,1.0059725e-05,1.5,0.41071428571135205,0.57625,0.0,0.009461263875099962,0.04109589041090261,0.5454545454495868,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
es,0.9999999998437517,4,0.0033149787149497627,0.0033149787149497627,0.0033149787149497627,0.4541741961492331,0.4541741961492331,0,1,cathedral,0,1,2,8.0,0.753,1.82e-05,2.0,0.49999999999583333,0.753,0.0769230769224852,0.02114841914609652,0.0,0.0,cathedral,any large and important church,i51645
it,0.10568328486839765,1,0.0030121313497096453,0.0030121313497096453,0.0030121313497096457,0.3583709111498092,0.3583709111498092,0,0,cathedral,0,2,3,7.5,0.6445,1.705e-05,1.5,0.39285714285433676,0.6445,0.0,0.016788856543225174,0.0,0.09090909090826446,cathedral,any large and important church,i51645
en,0.019983788084530316,1,0.002644778084868338,0.002644778084868338,0.0026447780848683376,0.2283101552913857,0.2283101552913857,0,0,cathedral,2,1,2,9.0,0.865,9.77e-06,2.0,0.599999999994,0.865,0.14285714285510204,0.014158581887090415,0.009999999999995,0.0,cathedral,any large and important church,i51645
nb,0.0,1,0.002614843157021339,0.002614843157021339,0.002614843157021339,0.2169271108852607,0.2169271108852607,0,0,cathedral,0,1,1,8.0,0.826,1.05e-06,1.0,0.6249999999921875,0.826,0.0,0.0014343675327982404,0.0,0.0,cathedral,any large and important church,i51645
it,0.9999999995141362,4,0.0038053774787925425,0.0038053774787925425,0.003805377478792543,0.5921381857448712,0.5921381857448712,0,1,"church, church building",4,1,4,6.0,0.658,0.000191,4.0,0.2857142857122449,0.658,0.16129032257960457,0.1991328622683762,0.054794520547870144,0.0,church,a place for public (especially Christian) worship,i51914
es,0.5235574020188832,3,0.0035073731549075562,0.0035073731549075562,0.003507373154907557,0.51059036174142,0.51059036174142,0,1,"church, church building",3,1,4,7.0,0.758,0.000132,4.0,0.41666666666319446,0.758,0.23076923076745562,0.16639223923214264,0.08108108108086194,0.0,church,a place for public (especially Christian) worship,i51914
nb,0.021062339722754557,1,0.0030212477421659753,0.0030212477421659753,0.0030212477421659753,0.36139289907909133,0.36139289907909133,0,1,"church, church building",1,3,3,8.333333333333334,0.8083333333333332,3.0011833333333336e-05,1.0,0.6666666666583334,0.8083333333333332,0.0,0.04329019969768205,0.199999999996,0.6666666666444444,church,a place for public (especially Christian) worship,i51914
en,0.0,1,0.002920438589035129,0.002920438589035129,0.0029204385890351293,0.3274568000870551,0.3274568000870551,0,1,"church, church building",5,2,5,10.5,0.8734999999999999,0.000114,2.5,0.7499999999925,0.8734999999999999,0.21428571428265306,0.2454672010236788,0.0249999999999875,0.09090909090826446,church,a place for public (especially Christian) worship,i51914
nb,0.9999999999098813,4,0.004330019668222535,0.004330019668222535,0.004330019668222535,0.7212950776804103,0.7212950776804103,1,1,"diadem, crown",0,1,1,5.0,0.792,1.48e-05,1.0,0.249999999996875,0.792,0.0,0.02130595803755976,0.0,0.0,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
en,0.0631319449096932,1,0.0033162007405487816,0.0033162007405487816,0.003316200740548782,0.4545427657592259,0.4545427657592259,0,0,"diadem, crown",1,2,13,5.5,0.42700000000000005,1.82725e-05,6.5,0.2499999999975,0.42700000000000005,0.7857142857030612,0.033027444347119614,0.0049999999999975,0.09090909090826446,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
es,0.04663060185234648,1,0.003229690597488083,0.003229690597488083,0.0032296905974880832,0.42810933575667365,0.42810933575667365,0,0,"diadem, crown",0,1,6,6.0,0.2,2.95e-05,6.0,0.33333333333055554,0.2,0.38461538461242606,0.03557069653601146,0.0,0.0,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
it,0.0,1,0.0031696926343562797,0.0031696926343562797,0.0031696926343562806,0.4093576157789553,0.4093576157789553,0,0,"diadem, crown",1,2,14,6.5,0.48750000000000004,1.2896e-05,7.0,0.3214285714262755,0.48750000000000004,0.3548387096751301,0.012434404115617944,0.013698630136967536,0.09090909090826446,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
en,0.999999999895966,4,0.004336070954102886,0.004336070954102886,0.004336070954102886,0.7226916213187298,0.7226916213187298,0,1,farm,13,1,1,4.0,0.204,5.62e-05,1.0,0.099999999999,0.204,0.0,0.11719666292433303,0.0649999999999675,0.0,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
nb,0.6128733183418731,3,0.003129195128249086,0.003129195128249086,0.003129195128249086,0.39649881732136943,0.39649881732136943,0,1,farm,1,3,5,8.0,0.6186666666666667,6.159566666666667e-06,1.6666666666666667,0.6249999999921875,0.6186666666666667,0.07407407407325103,0.008818746911473099,0.199999999996,0.6666666666444444,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
es,0.014239812417392271,1,0.002847421823871205,0.002847421823871205,0.002847421823871205,0.3021369550206269,0.3021369550206269,0,0,farm,4,4,15,7.666666666666667,0.8093333333333333,1.5083333333333333e-05,4.333333333333333,0.4722222222182871,0.8093333333333333,0.256410256408284,0.01717059337631172,0.10810810810781592,0.74999999998125,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
